id	original	translation	note
506	The statue gallery.  A number of finely carved marble figures adorn the far wall.  They are all of great and powerful warriors- past rulers of Ralith's tower.	雕像藝廊。牆的遠端擺放著許多精雕細琢的大理石雕像，皆是曾統治 RALITH 高塔的偉大戰士。	專有名詞依 glossary 硬規則 4 保留英文(精訊做法)。
507	On this wall is inscribed a word of command.  You do not understand the Runes and you feel compelled to turn around and walk away.	牆上刻著一句咒語。你看不懂上面的符文，並感到一股衝動驅使你轉身離開。	Runes 依 glossary「法術系別」表既有用法譯為「符文」。
508	Beyond you is a dark misty room with an air of death about it.  Evil Spirits swirl about you and without the blesing of the priest in Blackfort you cannot get past them.	你面前是一間昏暗迷濛、瀰漫著死亡氣息的房間。邪靈在你四周盤旋，若沒有 BLACKFORT 祭司的祝福，你無法通過。	專有名詞依 glossary 音譯統一(硬規則 4)。 專有名詞依 glossary 硬規則 4 保留英文(精訊做法)。
509	This is the crypt of the tower.  Moist earth and a cold mist fill the chamber.  To the south can be seen a lone figure surrounded by a semicircle of flames.  The icy claws of insubstantial hands reach out at you from the darkness.	這裡是塔中的墓穴，潮濕的泥土與陰冷的薄霧瀰漫在墓室中。南方可見一個孤獨的身影，被半圈火焰環繞。冰冷的爪狀虛影從黑暗中向你伸來。	
510	The scorching heat of the flames makes your eyes tear and your shoulders burn.  Within the sanctuary of the flames is a skeleton holding a brilliant crystal to its chest.  As you reach out for the crystal its hollow eyes fill with fire.	灼熱的火焰讓你雙眼刺痛、雙肩灼燒。在這片聖焰庇護之地，有一具骷髏正抱著一顆璀璨的水晶。當你伸手去取水晶時，牠空洞的眼窩燃起了火焰。	
526	This is a balcony high in the tower.  A great wind blows up from outside and swirls inside the room.  A great tornado seems to in the room, and moving towards you with a roaring that deafens the ears.	這是高塔上一座高處的陽台。一陣強風從外湧入，在室內迴旋盤繞。房間裡似乎有一股龍捲風，正發出震耳的咆哮朝你逼近。	
527	An Ice Demon has been placed here to guard the door.  The passageway has become quite cold and the demon gives off a deeper chill of its own.	一隻冰霜惡魔被安置在此看守房門。這條通道已變得十分寒冷，而這隻惡魔本身還散發著更深沉的寒氣。	Ice Demon 為 MONSTERS.DAT 怪物型別，此處以不定冠詞泛稱，譯為通用怪物名，見「建議新增譯名」。
528	This room is very cold but the sight of the gigantic creature of deep blue ice within chills you to the very bone. .  .	這個房間非常寒冷，房內那隻深藍色巨大寒冰生物的模樣，讓你寒毛直豎、不寒而慄。	
529	You stand at the entrance to a huge chamber.  It appears empty but you sense a powerful force approaching you.	你站在一間巨大廳堂的入口。廳內看似空無一物，但你感覺到一股強大的力量正在逼近。	
530	A great dragon guards this room.  This sight of its huge claws and leathery wings inspires terror.	一條巨龍看守著這個房間。牠巨大的利爪與皮革般的雙翼令人望而生畏。	
531	You are assailed by the tower shaking roar of a tremendous dragon as it pounces upon you.	一條巨龍以震動全塔的咆哮朝你猛撲而來。	
532	There are four many-faceted gems implanted in the wall here. One each of blue, green, violet, and red.	牆上鑲嵌著四顆切割精美的寶石，藍、綠、紫、紅各一顆。	
533	With a sweeping motion of her huge wings, Siriadne summons two ancient dragons from the open sky.  'You have come this far only to die.  I have lived for a thousand years and shall live for a thousand more...	SIRIADNE 揮動她龐大的雙翼，從天際召喚出兩條遠古巨龍：「你們能走到這一步，也只是為了送死。我已活了千年，還將再活千年……」	專有名詞依 glossary 硬規則 4 保留英文(精訊做法)。
544	You feel as if you are becoming insubstantial. Like a ghost you begin to float upwards through the ceiling above you and into a dark corridor. You feel solid once again and realize there is no way of getting back down.	你感覺自己逐漸變得虛無縹緲。如同幽魂一般，你開始向上飄浮，穿過頭頂的天花板，進入一條黑暗的通道。你重新感到實體，卻發現已無路可回到原處。	
545	Didn't they teach you the song in Edrin's Keep? Go there and learn it!	難道他們沒在 EDRIN'S KEEP 教過你那首歌嗎？去那裡學吧！	專有名詞依 glossary 音譯統一(硬規則 4)。 專有名詞依 glossary 硬規則 4 保留英文(精訊做法)。
