id	original	translation	note
1	You hear that a priest has been kidnapped and is being held prisoner in Blackfort by Devir the Destroyer. Blackfort was built in the forest southeast of the river by Galin the Good, but taken over by Devir.	你聽說有一位祭司被綁架了，被毀滅者迪維爾(Devir the Destroyer)囚禁在黑堡(Blackfort)。黑堡原是善者蓋林(Galin the Good)建在河流東南方森林裡的，後來被迪維爾奪走。	
2	A woman from east of the mountains says that she has been terrorized by Edrin, a powerful friend of Siriadne's. She overheard two men saying there is a secret passage in the corridor on the second level.	一位來自山脈東側的婦人說，她被艾德林(Edrin)恐嚇過——那是希瑞雅妮(Siriadne)的一位強大盟友。她無意間聽到兩個男人談起：第二層的走廊裡有一條密道。	原文結尾的 'i' 是抽取殘骸,不是內容(docs/re/138 §4)。
3	A greying old wizard sitting by the fire is talking about magical staves. He says there are five kinds, one for each of the 5 elements of Fire, Metal, Wind, Ice, and Spirit. They are rare and powerful artifacts indeed...	一位坐在火堆旁的斑白老法師在談論魔法權杖。他說權杖共有五種，對應火、金、風、冰、靈五大元素。那確實是稀有而強大的神器……	原文開頭的 'Fu' 是抽取殘骸(docs/re/138 §4)。
4	A muscular dwarf with big, beady eyes says he was attacked by Shamblers, horrible swamp monsters made by performing ancient magical rituals on dead swamp matter molded into human form...	一個肌肉結實、眼睛又大又圓的矮人說他被泥沼行屍襲擊過——那是可怕的沼澤怪物，以古老的魔法儀式把沼澤裡的死物捏成人形而成……	
5	The gate leading into Siriadne's fortress is magically bound and cannot be opened.	通往希瑞雅妮(Siriadne)要塞的大門受魔法束縛，打不開。	
6	You hear a whisper from behind you: 'A band of rebels that despises the evil Siriadne has taken refuge in the hills to the southwest.'	你聽見背後傳來一陣低語：「有一群憎恨邪惡希瑞雅妮(Siriadne)的叛軍，藏身在西南方的丘陵裡。」	
7	An ancient looking elvin wizard in the corner beckons you. He tells you in a shaky voice the second word in the name of the Ancient spell: 'Reveli'	角落裡一位看來蒼老的精靈法師向你招手。他用顫抖的聲音告訴你上古法術名稱的第二個字：「Reveli」	'Reveli' 是謎題的答案,**保留原文不譯**(玩家要照著輸入)。
8	A gnomish wizard is talking about elementals: unnatural, magical beings summoned by great wizards. They are five: one for each element. The Fire elemental is a being of pure fire, the Spirit elemental is mystical and feared.	一位地精法師在談論元素生物：那是偉大法師召喚出來的、違反自然的魔法造物。它們共有五種，每種對應一個元素。火元素是純粹由火構成的存在，靈元素則神祕而令人畏懼。	
9	The Arena is fine if you are a fighter, but a wizard need go to Terynor for his training. Terynor is nestled in the mountains far to the northeast and is rich in magical items.	如果你是戰士，鬥技場就夠了；但法師得去特里諾(Terynor)受訓。特里諾坐落在東北方遙遠的山中，那裡的魔法物品很豐富。	
10	Years ago Islanda was ruled by the evil Moonglow family. Because of them the land is still terrorized by evil monsters. Eldron Greyhair ended thier reign and still holds a great treasure for adventurers on a worthy mission	多年前，伊斯蘭達(Islanda)由邪惡的月華(Moonglow)家族統治。因為他們，這片土地至今仍受惡怪肆虐。灰髮艾爾德隆(Eldron Greyhair)終結了他們的統治，並且仍為身負重任的冒險者保管著一份大寶藏。	原文 'thier' 是原版的拼字錯誤,照原意譯。
11	* Coming soon * From the makers of The Shard of Spring ... an adventure set in the midst of a greater evil...	＊敬請期待＊　《春之石》的原班人馬……一場置身於更巨大邪惡之中的冒險……	第 11 段。⚠ 這不是傳聞而是續作預告（SSI 的《Demon's Winter》）。指認理由見 docs/re/144 §1：它是描述子鏈上緊接第 10 段的下一段，而再往後就是檔名與錯誤訊息。信心：證據充分。
